word,freq
lept,2
less,4590
lest,20
lets,292
levy,130
lewd,21
liar,52
libs,6
lice,8
lick,24
lido,7
lids,13
lied,138
lief,0
lien,11
lies,706
lieu,147
life,10281
lift,502
like,26456
lilt,2
lily,22
limb,39
lime,90
limn,0
limo,13
limp,33
limy,0
line,4428
ling,1
link,670
lint,5
lion,82
lips,123
lira,6
lire,0
lisp,1
list,2951
lite,5
live,4773
load,325
loaf,42
loam,3
loan,1071
lobe,5
lobs,1
loch,8
loci,0
lock,316
loco,6
lode,4
loft,55
loge,0
logo,276
logs,63
logy,0
loin,10
loll,1
lone,188
long,7693
look,7346
loom,34
loon,6
loop,142
loot,40
lope,1
lops,0
lord,52
lore,76
lorn,0
lose,1390
loss,3141
lost,4047
loth,0
lots,983
loud,379
lour,0
lout,1
love,6089
lows,173
luau,0
lube,3
luck,399
luff,0
lugs,4
lull,18
lump,74
lung,155
lure,94
lurk,13
lush,103
lust,15
lute,0
lyes,0
lynx,13
lyre,0
mace,7
mach,0
macs,0
made,15834
mads,0
magi,0
mags,1
maid,23
mail,284
maim,5
main,2778
make,16085
male,1022
mall,142
malt,26
mama,32
mane,8
mans,0
many,14967
maps,206
mare,16
mark,1369
marl,1
mars,2
mart,5
mash,34
mask,266
mass,888
mast,32
mate,367
math,186
mats,39
matt,1
maul,35
maws,0
maxi,14
mayo,16
mays,0
maze,46
mead,6
meal,720
mean,2517
meat,496
meds,21
meed,0
meek,13
meet,3064
mega,59
meld,5
melt,74
meme,133
memo,133
mend,41
menu,673
meow,3
mere,314
mesa,3
mesh,88
mess,313
mete,2
mewl,0
mews,2
mica,2
mice,87
midi,22
mien,0
miff,0
mike,1
mild,206
mile,317
milf,0
milk,479
mill,147
mils,0
milt,0
mime,1
mind,1984
mine,567
mini,245
mink,4
mint,62
minx,0
mire,4
miry,0
miss,1060
mist,60
mite,3
mitt,7
mixt,0
mkay,0
moan,14
moat,15
mobs,26
mock,97
mode,495
mods,35
moil,0
mold,89
mole,21
moll,2
molt,3
moms,60
monk,25
mono,1
mood,392
moon,364
moor,6
moos,0
moot,21
mope,0
mops,10
mopy,0
more,40858
morn,1
mosh,7
moss,34
most,17887
mote,0
moth,15
mots,1
moue,0
move,4851
mown,4
mows,2
much,12029
muck,12
muds,1
muff,0
mugs,25
mule,16
mull,3
mums,70
murk,1
muse,23
mush,6
musk,4
muss,0
must,5681
mute,24
mutt,3
myna,1
myth,73
nabs,0
nags,0
naif,0
nail,167
name,3893
nape,3
naps,9
narc,1
nark,0
nary,5
nave,1
navy,142
nays,2
neap,0
near,4581
neat,96
neck,512
need,12366
neon,44
nerd,25
nest,107
nets,78
nett,3
nevi,0
news,5664
newt,0
next,10612
nibs,1
nice,1426
nick,20
nigh,11
nils,0
nine,2221
nips,7
nite,0
nits,42
node,14
nods,59
noel,1
noes,0
none,694
nook,20
noon,335
nope,3
norm,146
nose,306
nosh,3
nosy,4
note,3011
noun,10
nova,5
nows,0
nubs,0
nude,73
nuke,7
null,12
numb,26
nuns,20
nuts,133
oafs,0
oaks,8
oars,8
oath,138
oats,34
obey,41
obis,0
obit,0
oboe,1
odds,481
odes,1
odor,35
offs,14
ogle,0
ogre,1
ohms,0
oils,101
oily,39
oink,0
okay,314
okra,7
olds,17
oleo,0
oles,0
omen,17
omit,13
once,4579
ones,1844
only,17996
onto,1584
onus,34
onyx,4
oohs,1
oops,2
ooze,5
oozy,1
opal,3
oped,1
open,5434
opes,1
opts,25
opus,6
oral,181
orbs,10
orcs,7
ores,6
orgy,12
orzo,2
ouch,1
ours,144
oust,45
outs,89
ouzo,1
oval,28
oven,216
over,27382
ovum,2
owed,184
owes,81
owls,35
owns,6901
oxen,4
pace,666
pack,463
pact,85
pads,87
page,1074
paid,2736
pail,4
pain,1227
pair,1793
pale,68
pall,4
palm,103
pals,80
pane,7
pang,7
pans,55
pant,5
papa,9
paps,11
para,21
pare,8
park,1836
pars,7
part,11158
pass,1825
past,6371
pate,5
path,1258
pats,7
pave,98
pawl,0
pawn,21
paws,29
pays,292
peak,679
peal,5
pear,27
peas,45
peat,25
peck,11
pecs,1
peed,2
peek,72
peel,35
peen,1
peep,4
peer,149
pees,0
pegs,5
peke,0
pelf,0
pelt,5
pend,0
pens,45
pent,7
peon,1
peps,1
perk,40
perm,2
pert,1
peso,17
pest,75
pets,346
pews,18
phat,0
phew,0
phis,0
pica,1
pick,1763
pics,49
pied,1
pier,104
pies,93
pigs,83
pike,6
pile,189
pill,86
pimp,10
pine,68
ping,20
pink,397
pins,72
pint,108
piny,0
pipe,138
pips,10
piss,14
pita,11
pith,2
pits,80
pity,48
pixy,0
plan,4325
plat,4
play,7337
plea,454
pled,25
plod,3
plop,4
plot,549
plow,27
ploy,32
plug,182
plum,20
plus,893
pock,0
pods,70
poem,93
poet,118
pois,0
poke,43
poky,0
pole,224
poll,815
polo,77
pols,0
pomp,15
pond,142
pone,1
pony,49
poof,3
pooh,0
pool,866
poop,25
poor,1335
pope,75
pops,62
pore,9
pork,162
porn,120
port,559
pose,375
posh,47
post,4088
posy,1
pots,94
pour,104
pout,0
pram,20
pray,264
prep,99
prey,117
prig,0
prim,0
prod,8
prof,5
prom,43
prop,122
pros,98
prow,1
psis,0
psst,0
pubs,253
puce,0
puck,199
puff,38
pugs,3
puke,5
pule,1
pull,798
pulp,34
puma,2
pump,266
punk,69
puns,9
punt,96
puny,5
pupa,1
pups,36
pure,273
purl,2
purr,4
push,1347
puss,1
puts,572
putt,54
pwns,0
pyre,1
quad,50
quay,7
quid,24
quip,18
quit,344
quiz,120
race,2733
rack,73
racy,20
rads,0
raft,72
raga,3
rage,159
rags,10
raid,280
rail,449
rain,1371
raja,1
rake,27
ramp,201
rams,3
rand,7
rang,127
rani,0
rank,315
rant,49
rape,442
raps,9
rapt,6
rare,1104
rash,69
rasp,0
rate,3209
rats,111
rave,72
raws,0
rays,51
raze,6
razz,1
read,2148
real,4263
ream,0
reap,62
